ticket_id,ticket_channel,ticket_priority,product,customer_segment,first_response_time_hours,resolution_time_hours,csat_score,custom_sla_status,resolution_bucket
64321,Chat,Medium,API Service,Small Business,25.69,203.01,1,Breached SLA (>48h),Over 48 Hours
109964,Chat,Medium,API Service,Corporate,38.11,194.22,1,Breached SLA (>48h),Over 48 Hours
5837,Phone,Urgent,API Service,Corporate,29.99,164.73,1,Breached SLA (>48h),Over 48 Hours
66126,Social Media,High,API Service,Small Business,18.38,207.22,1,Breached SLA (>48h),Over 48 Hours
108639,Phone,Medium,API Service,Individual,58.48,189.29,1,Breached SLA (>48h),Over 48 Hours
178386,Social Media,High,API Service,Small Business,68.46,154.17,1,Breached SLA (>48h),Over 48 Hours
23800,Web Form,Medium,API Service,Small Business,5.34,233.98,1,Breached SLA (>48h),Over 48 Hours
32774,Chat,Medium,API Service,Small Business,29.45,41.47,1,Met SLA (<48h),48 Hour Resolution
146219,Web Form,Medium,API Service,Individual,10.18,128.88,1,Breached SLA (>48h),Over 48 Hours
1863,Email,Medium,API Service,Corporate,52.2,55.86,1,Breached SLA (>48h),Over 48 Hours
181682,Phone,Low,API Service,Corporate,25.36,171.78,1,Breached SLA (>48h),Over 48 Hours
74454,Chat,Urgent,API Service,Corporate,41.17,230.71,1,Breached SLA (>48h),Over 48 Hours
12705,Phone,Urgent,API Service,Individual,39.02,59.83,1,Breached SLA (>48h),Over 48 Hours
13523,Chat,Medium,API Service,Individual,24.62,164.51,1,Breached SLA (>48h),Over 48 Hours
8100,Email,Urgent,API Service,Individual,60.6,212.55,1,Breached SLA (>48h),Over 48 Hours
13459,Web Form,High,API Service,Small Business,47.16,94.73,1,Breached SLA (>48h),Over 48 Hours
114255,Chat,Low,API Service,Corporate,32.73,58.91,1,Breached SLA (>48h),Over 48 Hours
123305,Phone,Urgent,API Service,Small Business,38.04,36.99,1,Met SLA (<48h),48 Hour Resolution
44673,Phone,Medium,API Service,Small Business,24.78,199.66,1,Breached SLA (>48h),Over 48 Hours
183715,Social Media,High,API Service,Corporate,56.13,20.08,1,Met SLA (<48h),24 Hour Resolution
134375,Web Form,High,API Service,Corporate,24.68,135.86,1,Breached SLA (>48h),Over 48 Hours
108273,Phone,Medium,API Service,Small Business,70.46,108.63,1,Breached SLA (>48h),Over 48 Hours
102161,Web Form,Medium,API Service,Individual,7.38,217.54,1,Breached SLA (>48h),Over 48 Hours
188614,Chat,Medium,API Service,Small Business,2.96,110.64,1,Breached SLA (>48h),Over 48 Hours
187210,Email,Medium,API Service,Individual,24.32,93.66,1,Breached SLA (>48h),Over 48 Hours
49076,Email,Urgent,API Service,Corporate,24.34,172.89,1,Breached SLA (>48h),Over 48 Hours
15298,Phone,High,API Service,Small Business,25.55,69.68,1,Breached SLA (>48h),Over 48 Hours
75267,Email,Low,API Service,Individual,49.31,127.33,1,Breached SLA (>48h),Over 48 Hours
51527,Social Media,High,API Service,Corporate,43.56,209.47,1,Breached SLA (>48h),Over 48 Hours
144908,Chat,High,API Service,Individual,65.72,48.19,1,Breached SLA (>48h),Over 48 Hours
129997,Email,Low,API Service,Corporate,16.24,71.08,1,Breached SLA (>48h),Over 48 Hours
138521,Chat,Urgent,API Service,Corporate,12.89,128.41,1,Breached SLA (>48h),Over 48 Hours
152903,Phone,Medium,API Service,Small Business,46.65,88.1,1,Breached SLA (>48h),Over 48 Hours
35973,Phone,High,API Service,Individual,51.72,97.54,1,Breached SLA (>48h),Over 48 Hours
150616,Phone,Medium,API Service,Individual,36.91,28.95,1,Met SLA (<48h),48 Hour Resolution
112414,Web Form,High,API Service,Small Business,71.11,232.94,1,Breached SLA (>48h),Over 48 Hours
35738,Email,Urgent,API Service,Small Business,24.22,60.5,1,Breached SLA (>48h),Over 48 Hours
28495,Chat,Urgent,API Service,Small Business,71.12,118.79,1,Breached SLA (>48h),Over 48 Hours
61211,Social Media,Medium,API Service,Corporate,49.91,30.99,1,Met SLA (<48h),48 Hour Resolution
72696,Chat,Low,API Service,Small Business,3.59,135.71,1,Breached SLA (>48h),Over 48 Hours
189146,Social Media,High,API Service,Individual,44.26,192.09,1,Breached SLA (>48h),Over 48 Hours
39960,Phone,Urgent,API Service,Corporate,11.49,231.19,1,Breached SLA (>48h),Over 48 Hours
98415,Email,Low,API Service,Small Business,18.91,204.79,1,Breached SLA (>48h),Over 48 Hours
39615,Web Form,Urgent,API Service,Small Business,50.46,172.29,1,Breached SLA (>48h),Over 48 Hours
192281,Email,High,API Service,Corporate,51.61,92.07,1,Breached SLA (>48h),Over 48 Hours
92881,Social Media,Medium,API Service,Small Business,22.24,207.49,1,Breached SLA (>48h),Over 48 Hours
23747,Chat,Urgent,API Service,Individual,50.07,50.07,1,Breached SLA (>48h),Over 48 Hours
24558,Web Form,High,API Service,Small Business,7.96,194.77,1,Breached SLA (>48h),Over 48 Hours
101432,Web Form,Medium,API Service,Corporate,33.78,167.98,1,Breached SLA (>48h),Over 48 Hours
107139,Chat,Medium,API Service,Small Business,14.18,12.47,1,Met SLA (<48h),24 Hour Resolution
48919,Email,Low,API Service,Small Business,68.0,62.9,1,Breached SLA (>48h),Over 48 Hours
109214,Web Form,Medium,API Service,Small Business,24.03,198.0,1,Breached SLA (>48h),Over 48 Hours
9213,Chat,High,API Service,Corporate,58.27,155.92,1,Breached SLA (>48h),Over 48 Hours
169008,Email,Medium,API Service,Corporate,30.8,230.06,1,Breached SLA (>48h),Over 48 Hours
116083,Social Media,Medium,API Service,Small Business,66.68,229.85,1,Breached SLA (>48h),Over 48 Hours
25838,Phone,High,API Service,Corporate,45.94,213.21,1,Breached SLA (>48h),Over 48 Hours
85588,Email,Urgent,API Service,Small Business,0.97,164.25,1,Breached SLA (>48h),Over 48 Hours
162132,Phone,Medium,API Service,Individual,65.37,204.57,1,Breached SLA (>48h),Over 48 Hours
69453,Web Form,Medium,API Service,Individual,59.67,213.99,1,Breached SLA (>48h),Over 48 Hours
7732,Social Media,Urgent,API Service,Corporate,29.14,39.97,1,Met SLA (<48h),48 Hour Resolution
91580,Chat,High,API Service,Small Business,54.53,135.57,1,Breached SLA (>48h),Over 48 Hours
172338,Chat,Medium,API Service,Individual,11.44,56.56,1,Breached SLA (>48h),Over 48 Hours
5774,Email,High,API Service,Small Business,69.68,162.22,1,Breached SLA (>48h),Over 48 Hours
57358,Email,Low,API Service,Corporate,52.98,50.53,1,Breached SLA (>48h),Over 48 Hours
51234,Chat,High,API Service,Small Business,29.85,197.8,1,Breached SLA (>48h),Over 48 Hours
107056,Chat,Urgent,API Service,Small Business,61.87,225.37,1,Breached SLA (>48h),Over 48 Hours
115171,Web Form,High,API Service,Individual,33.95,165.98,1,Breached SLA (>48h),Over 48 Hours
23581,Email,Urgent,API Service,Individual,20.05,167.99,1,Breached SLA (>48h),Over 48 Hours
112343,Social Media,Medium,API Service,Individual,24.82,192.91,1,Breached SLA (>48h),Over 48 Hours
12019,Social Media,Urgent,API Service,Corporate,61.07,130.46,1,Breached SLA (>48h),Over 48 Hours
122313,Email,High,API Service,Corporate,65.83,172.85,1,Breached SLA (>48h),Over 48 Hours
176260,Web Form,Medium,API Service,Corporate,27.49,168.99,1,Breached SLA (>48h),Over 48 Hours
185591,Email,Urgent,API Service,Small Business,54.81,198.91,1,Breached SLA (>48h),Over 48 Hours
115402,Phone,Medium,API Service,Individual,2.97,212.38,1,Breached SLA (>48h),Over 48 Hours
55561,Phone,Medium,API Service,Small Business,67.34,110.55,1,Breached SLA (>48h),Over 48 Hours
164657,Web Form,Medium,API Service,Corporate,49.98,227.48,1,Breached SLA (>48h),Over 48 Hours
86803,Social Media,High,API Service,Corporate,58.99,173.71,1,Breached SLA (>48h),Over 48 Hours
111517,Social Media,Urgent,API Service,Small Business,64.56,49.57,1,Breached SLA (>48h),Over 48 Hours
144521,Web Form,Low,API Service,Small Business,8.48,49.33,1,Breached SLA (>48h),Over 48 Hours
73956,Social Media,Urgent,API Service,Corporate,63.27,32.63,1,Met SLA (<48h),48 Hour Resolution
21908,Email,Medium,API Service,Individual,11.02,120.6,1,Breached SLA (>48h),Over 48 Hours
55143,Chat,Low,API Service,Small Business,10.37,50.55,1,Breached SLA (>48h),Over 48 Hours
141110,Email,Medium,API Service,Corporate,8.68,116.03,1,Breached SLA (>48h),Over 48 Hours
7716,Chat,Low,API Service,Small Business,53.74,150.13,1,Breached SLA (>48h),Over 48 Hours
76786,Web Form,Low,API Service,Small Business,17.67,230.11,1,Breached SLA (>48h),Over 48 Hours
125897,Email,Urgent,API Service,Corporate,17.48,157.89,1,Breached SLA (>48h),Over 48 Hours
143793,Web Form,High,API Service,Small Business,13.28,80.9,1,Breached SLA (>48h),Over 48 Hours
145580,Chat,Low,API Service,Individual,61.92,23.48,1,Met SLA (<48h),24 Hour Resolution
195168,Web Form,High,API Service,Small Business,12.05,171.96,1,Breached SLA (>48h),Over 48 Hours
29564,Email,Urgent,API Service,Corporate,71.9,205.9,1,Breached SLA (>48h),Over 48 Hours
169820,Email,Low,API Service,Corporate,40.11,33.23,1,Met SLA (<48h),48 Hour Resolution
78225,Social Media,High,API Service,Corporate,40.76,183.26,1,Breached SLA (>48h),Over 48 Hours
154488,Social Media,Low,API Service,Individual,49.54,4.02,1,Met SLA (<48h),Same Day Resolution
178473,Web Form,Medium,API Service,Small Business,16.69,49.08,1,Breached SLA (>48h),Over 48 Hours
95884,Email,Medium,API Service,Small Business,4.36,136.47,1,Breached SLA (>48h),Over 48 Hours
65596,Phone,Medium,API Service,Corporate,37.34,219.74,1,Breached SLA (>48h),Over 48 Hours
199387,Email,Urgent,API Service,Small Business,49.96,167.33,1,Breached SLA (>48h),Over 48 Hours
35301,Email,Low,API Service,Small Business,60.28,134.02,1,Breached SLA (>48h),Over 48 Hours
112221,Chat,Low,API Service,Individual,12.88,48.69,1,Breached SLA (>48h),Over 48 Hours
129146,Web Form,Medium,API Service,Individual,71.47,44.62,1,Met SLA (<48h),48 Hour Resolution
129549,Chat,High,API Service,Small Business,55.49,39.53,1,Met SLA (<48h),48 Hour Resolution
149655,Chat,Medium,API Service,Small Business,15.12,86.65,1,Breached SLA (>48h),Over 48 Hours
73602,Web Form,Low,API Service,Corporate,19.93,169.3,1,Breached SLA (>48h),Over 48 Hours
94692,Chat,High,API Service,Individual,60.65,38.91,1,Met SLA (<48h),48 Hour Resolution
29391,Web Form,Low,API Service,Corporate,34.29,170.42,1,Breached SLA (>48h),Over 48 Hours
19065,Email,Medium,API Service,Corporate,65.4,180.35,1,Breached SLA (>48h),Over 48 Hours
171210,Web Form,Medium,API Service,Small Business,19.08,55.78,1,Breached SLA (>48h),Over 48 Hours
149311,Email,Urgent,API Service,Corporate,15.96,40.29,1,Met SLA (<48h),48 Hour Resolution
77161,Chat,High,API Service,Corporate,39.91,160.95,1,Breached SLA (>48h),Over 48 Hours
132168,Chat,High,API Service,Individual,5.54,98.14,1,Breached SLA (>48h),Over 48 Hours
2636,Email,Urgent,API Service,Corporate,44.53,74.73,1,Breached SLA (>48h),Over 48 Hours
126143,Chat,Low,API Service,Individual,20.8,89.02,1,Breached SLA (>48h),Over 48 Hours
117638,Email,Low,API Service,Corporate,11.49,99.96,1,Breached SLA (>48h),Over 48 Hours
23839,Chat,Urgent,API Service,Corporate,5.05,165.97,1,Breached SLA (>48h),Over 48 Hours
110799,Social Media,Medium,API Service,Small Business,33.75,24.04,1,Met SLA (<48h),48 Hour Resolution
184274,Social Media,Low,API Service,Small Business,48.61,89.53,1,Breached SLA (>48h),Over 48 Hours
42375,Social Media,Urgent,API Service,Individual,59.82,160.82,1,Breached SLA (>48h),Over 48 Hours
58420,Social Media,High,API Service,Corporate,69.35,163.88,1,Breached SLA (>48h),Over 48 Hours
21714,Email,High,API Service,Individual,38.7,212.96,1,Breached SLA (>48h),Over 48 Hours
26533,Web Form,Medium,API Service,Corporate,24.57,43.94,1,Met SLA (<48h),48 Hour Resolution
134252,Web Form,Urgent,API Service,Individual,32.21,150.85,1,Breached SLA (>48h),Over 48 Hours
155533,Web Form,Urgent,API Service,Corporate,33.83,16.68,1,Met SLA (<48h),24 Hour Resolution
160039,Social Media,High,API Service,Small Business,62.02,84.86,1,Breached SLA (>48h),Over 48 Hours
116979,Email,Medium,API Service,Individual,52.81,113.09,1,Breached SLA (>48h),Over 48 Hours
163575,Social Media,Low,API Service,Small Business,65.72,112.32,1,Breached SLA (>48h),Over 48 Hours
173758,Chat,Medium,API Service,Individual,29.77,115.13,1,Breached SLA (>48h),Over 48 Hours
133237,Web Form,Medium,API Service,Individual,65.12,32.85,1,Met SLA (<48h),48 Hour Resolution
181295,Social Media,Medium,API Service,Corporate,36.89,55.48,1,Breached SLA (>48h),Over 48 Hours
114479,Chat,Low,API Service,Small Business,59.96,143.83,1,Breached SLA (>48h),Over 48 Hours
170008,Chat,Medium,API Service,Corporate,0.98,45.06,1,Met SLA (<48h),48 Hour Resolution
7226,Web Form,Urgent,API Service,Small Business,29.61,201.84,1,Breached SLA (>48h),Over 48 Hours
64567,Chat,Medium,API Service,Corporate,65.82,214.03,1,Breached SLA (>48h),Over 48 Hours
76506,Email,High,API Service,Individual,49.84,197.67,1,Breached SLA (>48h),Over 48 Hours
105302,Email,Low,API Service,Small Business,30.01,127.22,1,Breached SLA (>48h),Over 48 Hours
75617,Web Form,Urgent,API Service,Corporate,13.09,79.07,1,Breached SLA (>48h),Over 48 Hours
101855,Email,Medium,API Service,Individual,9.35,95.99,1,Breached SLA (>48h),Over 48 Hours
137829,Chat,Urgent,API Service,Corporate,9.43,133.64,1,Breached SLA (>48h),Over 48 Hours
79411,Chat,High,API Service,Small Business,61.58,65.29,1,Breached SLA (>48h),Over 48 Hours
23203,Email,Urgent,API Service,Individual,43.58,49.03,1,Breached SLA (>48h),Over 48 Hours
106920,Phone,High,API Service,Small Business,64.66,157.99,1,Breached SLA (>48h),Over 48 Hours
352,Phone,High,API Service,Individual,35.02,126.18,1,Breached SLA (>48h),Over 48 Hours
158497,Social Media,Urgent,API Service,Small Business,2.22,74.64,1,Breached SLA (>48h),Over 48 Hours
9212,Web Form,Low,API Service,Corporate,69.35,37.18,1,Met SLA (<48h),48 Hour Resolution
42884,Social Media,Medium,API Service,Individual,7.93,60.32,1,Breached SLA (>48h),Over 48 Hours
162337,Web Form,Urgent,API Service,Corporate,16.77,238.54,1,Breached SLA (>48h),Over 48 Hours
137165,Chat,Urgent,API Service,Corporate,3.21,108.11,1,Breached SLA (>48h),Over 48 Hours
92344,Email,Medium,API Service,Corporate,10.04,58.53,1,Breached SLA (>48h),Over 48 Hours
115124,Email,Low,API Service,Corporate,28.86,86.72,1,Breached SLA (>48h),Over 48 Hours
106912,Phone,High,API Service,Corporate,35.0,206.95,1,Breached SLA (>48h),Over 48 Hours
84903,Web Form,Urgent,API Service,Small Business,30.61,150.44,1,Breached SLA (>48h),Over 48 Hours
2528,Chat,High,API Service,Corporate,59.3,189.26,1,Breached SLA (>48h),Over 48 Hours
76044,Social Media,Medium,API Service,Individual,20.24,68.52,1,Breached SLA (>48h),Over 48 Hours
32594,Web Form,High,API Service,Small Business,46.81,39.85,1,Met SLA (<48h),48 Hour Resolution
77230,Web Form,Low,API Service,Corporate,19.08,184.01,1,Breached SLA (>48h),Over 48 Hours
28598,Email,Urgent,API Service,Individual,43.47,216.01,1,Breached SLA (>48h),Over 48 Hours
161114,Web Form,Urgent,API Service,Individual,15.86,230.14,1,Breached SLA (>48h),Over 48 Hours
129799,Email,Medium,API Service,Small Business,36.43,68.59,1,Breached SLA (>48h),Over 48 Hours
45446,Chat,Medium,API Service,Individual,8.64,150.28,1,Breached SLA (>48h),Over 48 Hours
128241,Chat,Low,API Service,Individual,0.71,143.26,1,Breached SLA (>48h),Over 48 Hours
195537,Phone,Medium,API Service,Small Business,57.19,13.92,1,Met SLA (<48h),24 Hour Resolution
83557,Social Media,Urgent,API Service,Corporate,4.67,213.84,1,Breached SLA (>48h),Over 48 Hours
199512,Chat,High,API Service,Small Business,33.17,200.19,1,Breached SLA (>48h),Over 48 Hours
21127,Email,Low,API Service,Individual,44.62,210.23,1,Breached SLA (>48h),Over 48 Hours
62740,Chat,Medium,API Service,Corporate,58.6,219.37,1,Breached SLA (>48h),Over 48 Hours
123297,Web Form,Low,API Service,Small Business,64.11,179.07,1,Breached SLA (>48h),Over 48 Hours
170564,Chat,Low,API Service,Corporate,68.47,60.42,1,Breached SLA (>48h),Over 48 Hours
145310,Social Media,Urgent,API Service,Corporate,0.76,9.79,1,Met SLA (<48h),Same Day Resolution
187891,Chat,Medium,API Service,Small Business,6.6,235.18,1,Breached SLA (>48h),Over 48 Hours
76780,Phone,Medium,API Service,Small Business,53.23,6.48,1,Met SLA (<48h),Same Day Resolution
144095,Email,Urgent,API Service,Individual,13.63,88.69,1,Breached SLA (>48h),Over 48 Hours
27344,Email,Low,API Service,Individual,63.83,27.87,1,Met SLA (<48h),48 Hour Resolution
20807,Social Media,Medium,API Service,Small Business,29.05,13.42,1,Met SLA (<48h),24 Hour Resolution
30913,Web Form,High,API Service,Individual,10.17,63.18,1,Breached SLA (>48h),Over 48 Hours
13782,Chat,Medium,API Service,Small Business,30.87,61.98,1,Breached SLA (>48h),Over 48 Hours
19846,Chat,Low,API Service,Small Business,37.76,204.12,1,Breached SLA (>48h),Over 48 Hours
51146,Web Form,Medium,API Service,Small Business,31.56,50.69,1,Breached SLA (>48h),Over 48 Hours
109309,Chat,Medium,API Service,Corporate,22.05,1.22,1,Met SLA (<48h),Same Day Resolution
141461,Social Media,Low,API Service,Corporate,10.48,46.62,1,Met SLA (<48h),48 Hour Resolution
150169,Email,High,API Service,Small Business,50.33,225.49,1,Breached SLA (>48h),Over 48 Hours
36122,Chat,High,API Service,Small Business,20.82,186.33,1,Breached SLA (>48h),Over 48 Hours
160661,Social Media,Medium,API Service,Corporate,15.16,165.04,1,Breached SLA (>48h),Over 48 Hours
175879,Chat,High,API Service,Corporate,38.36,108.52,1,Breached SLA (>48h),Over 48 Hours
112131,Social Media,High,API Service,Corporate,14.85,234.16,1,Breached SLA (>48h),Over 48 Hours
55880,Chat,High,API Service,Corporate,69.89,210.95,1,Breached SLA (>48h),Over 48 Hours
67252,Email,Urgent,API Service,Individual,25.32,113.75,1,Breached SLA (>48h),Over 48 Hours
8942,Social Media,Urgent,API Service,Small Business,59.83,84.23,1,Breached SLA (>48h),Over 48 Hours
68587,Email,Low,API Service,Individual,38.84,149.86,1,Breached SLA (>48h),Over 48 Hours
127192,Email,Medium,API Service,Corporate,32.99,175.14,1,Breached SLA (>48h),Over 48 Hours
129360,Social Media,Medium,API Service,Individual,26.76,9.39,1,Met SLA (<48h),Same Day Resolution
134788,Web Form,Medium,API Service,Individual,33.01,142.8,1,Breached SLA (>48h),Over 48 Hours
41566,Chat,High,API Service,Corporate,9.1,125.14,1,Breached SLA (>48h),Over 48 Hours
48374,Web Form,High,API Service,Corporate,41.99,17.13,1,Met SLA (<48h),24 Hour Resolution
91529,Social Media,Urgent,API Service,Corporate,71.86,54.43,1,Breached SLA (>48h),Over 48 Hours
182976,Phone,High,API Service,Individual,21.74,128.95,1,Breached SLA (>48h),Over 48 Hours
181239,Web Form,High,API Service,Individual,35.84,237.14,1,Breached SLA (>48h),Over 48 Hours
128765,Chat,Medium,API Service,Individual,66.92,69.36,1,Breached SLA (>48h),Over 48 Hours
58950,Phone,Medium,API Service,Small Business,29.43,229.85,1,Breached SLA (>48h),Over 48 Hours
69391,Email,High,API Service,Individual,38.98,60.34,1,Breached SLA (>48h),Over 48 Hours
105342,Chat,Urgent,API Service,Individual,57.54,102.52,1,Breached SLA (>48h),Over 48 Hours
4683,Email,Low,API Service,Individual,69.68,190.68,1,Breached SLA (>48h),Over 48 Hours
64283,Email,Urgent,API Service,Small Business,31.95,86.02,1,Breached SLA (>48h),Over 48 Hours
87595,Social Media,High,API Service,Corporate,22.01,161.0,1,Breached SLA (>48h),Over 48 Hours
190219,Chat,Medium,API Service,Corporate,33.58,61.9,1,Breached SLA (>48h),Over 48 Hours
62384,Phone,Urgent,API Service,Individual,15.52,139.12,1,Breached SLA (>48h),Over 48 Hours
23822,Social Media,Low,API Service,Corporate,8.76,209.2,1,Breached SLA (>48h),Over 48 Hours
139562,Social Media,Medium,API Service,Individual,37.32,129.93,1,Breached SLA (>48h),Over 48 Hours
140468,Social Media,Low,API Service,Individual,69.76,234.77,1,Breached SLA (>48h),Over 48 Hours
73482,Phone,High,API Service,Corporate,10.48,205.24,1,Breached SLA (>48h),Over 48 Hours
146599,Chat,Urgent,API Service,Corporate,69.01,134.85,1,Breached SLA (>48h),Over 48 Hours
98380,Web Form,Urgent,API Service,Corporate,67.11,158.4,1,Breached SLA (>48h),Over 48 Hours
121445,Chat,Urgent,API Service,Corporate,32.72,109.38,1,Breached SLA (>48h),Over 48 Hours
124207,Phone,High,API Service,Small Business,50.1,162.61,1,Breached SLA (>48h),Over 48 Hours
108308,Phone,Urgent,API Service,Individual,37.61,21.84,1,Met SLA (<48h),24 Hour Resolution
10054,Chat,High,API Service,Individual,37.09,194.61,1,Breached SLA (>48h),Over 48 Hours
147882,Social Media,Urgent,API Service,Corporate,62.24,99.7,1,Breached SLA (>48h),Over 48 Hours
